Date,Time,Ch1:Deg F
09/10/2018,00:01:19,71.210
09/10/2018,00:01:29,71.250
09/10/2018,00:01:39,71.290
09/10/2018,00:01:49,71.210
09/10/2018,00:01:59,71.250
09/10/2018,00:02:09,71.250
09/10/2018,00:02:19,71.170
09/10/2018,00:02:29,71.250
09/10/2018,00:02:39,71.290
09/10/2018,00:02:49,71.170
09/10/2018,00:02:59,71.250
09/10/2018,00:03:09,71.290
09/10/2018,00:03:19,71.210
09/10/2018,00:03:29,71.290
09/10/2018,00:03:39,71.250
09/10/2018,00:03:49,71.290
09/10/2018,00:03:59,71.290
09/10/2018,00:04:09,71.170
09/10/2018,00:04:19,71.210
09/10/2018,00:04:29,71.170
09/10/2018,00:04:39,71.250
09/10/2018,00:04:49,71.290
09/10/2018,00:04:59,71.250
09/10/2018,00:05:09,71.290
09/10/2018,00:05:19,71.290
09/10/2018,00:05:29,71.290
09/10/2018,00:05:39,71.290
09/10/2018,00:05:49,71.290
09/10/2018,00:05:59,71.290
09/10/2018,00:06:09,71.210
09/10/2018,00:06:19,71.250
09/10/2018,00:06:29,71.329
09/10/2018,00:06:39,71.210
09/10/2018,00:06:49,71.329
09/10/2018,00:06:59,71.329
09/10/2018,00:07:09,71.329
09/10/2018,00:07:19,71.250
09/10/2018,00:07:29,71.290
